#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
16702351|2017-08-13T15:43:39.160000|42.801|13.2562|15.1|SURVEY-INGV||||ML|3.0|--|5 km NW Arquata del Tronto (AP)
16709121|2017-08-14T06:45:01.820000|42.6112|13.2213|10.3|SURVEY-INGV||||ML|3.0|--|5 km E Cittareale (RI)
16726531|2017-08-15T19:25:33.370000|43.0023|13.1443|9.8|SURVEY-INGV||||ML|3.1|--|4 km S Fiastra (MC)
16737601|2017-08-16T15:53:29.000000|36.571|24.62|102.2|SURVEY-INGV||||ML|4.9|--|Southern Greece [Sea: Greece]
16770511|2017-08-19T11:38:10.000000|37.665|14.84|21.2|SURVEY-INGV-CT||||ML|3.1|--|1 km E Adrano (CT)
16796811|2017-08-21T18:57:51.780000|40.7383|13.8977|1.5|BULLETIN-INGV||||Mw|3.9|--|1 km SW Casamicciola Terme (NA)
16813351|2017-08-23T09:16:24.350000|35.663|14.86|12.5|BULLETIN-INGV||||Mw|3.8|--|Mar Ionio Meridionale (MARE)
16832171|2017-08-25T03:44:47.300000|43.1078|13.1928|8.1|SURVEY-INGV||||ML|3.3|--|4 km SW Caldarola (MC)
16838451|2017-08-25T15:32:19.330000|43.1022|13.1897|6.8|BULLETIN-INGV||||Mw|3.3|--|5 km SW Caldarola (MC)
16839561|2017-08-25T17:10:45.340000|35.5687|15.235|8.6|BULLETIN-INGV||||ML|4.0|--|Malta [Sea]
16841721|2017-08-25T21:57:46.000000|37.617|14.891|6.3|SURVEY-INGV-CT||||ML|3.3|--|E Santa Maria di Licodia (CT)
16915791|2017-09-01T09:56:13.750000|42.9892|13.0043|8.0|SURVEY-INGV||||ML|3.0|--|1 km SE Monte Cavallo (MC)
16916341|2017-09-01T10:15:51.580000|42.9973|13.0038|9.5|SURVEY-INGV||||ML|3.2|--|NE Monte Cavallo (MC)
16916801|2017-09-01T10:29:31.890000|42.9967|13.0037|8.7|SURVEY-INGV||||Mw|3.2|--|NE Monte Cavallo (MC)
16921551|2017-09-01T16:48:33.421000|35.8365|28.0085|74.4|SURVEY-INGV-A||||mb|5.1|--|Greece [Sea]
16922501|2017-09-01T18:31:03.600000|38.578|13.1318|28.1|SURVEY-INGV||||ML|3.2|--|Tirreno Meridionale (MARE)
