 06/01/11 13    39.775    42.573    60.716
 06/01/11 14    39.859    42.682    60.680
 06/01/11 15    39.874    42.232    60.396
 06/01/11 16    39.765    42.189    60.584
 06/01/11 17    39.886    42.259    60.872
 06/01/11 18    39.941    42.021    60.324
 06/01/11 19    39.643    42.111    60.027
 06/01/11 20    39.416    42.070    60.035
 06/01/11 21    39.498    41.808    60.376
 06/01/11 22    39.525    41.665    60.034
 06/01/11 23    39.236    41.934    60.191
 07/01/11 00    39.345    41.868    60.256
 07/01/11 01    39.379    41.687    60.017
 07/01/11 02    39.347    42.194    60.488
 07/01/11 03    39.390    41.803    59.697
 07/01/11 04    39.237    42.106    60.255
 07/01/11 05    39.206    41.927    59.744
 07/01/11 06    39.276    41.636    59.970
 07/01/11 07    39.376    41.726    60.054
 07/01/11 08    39.236    41.515    59.776
 07/01/11 09    39.289    41.901    59.746
 07/01/11 10    39.336    42.591    59.966
 07/01/11 11    39.406    42.018    60.096
 07/01/11 12    39.506    42.062    59.799
 07/01/11 13    39.042    42.060    59.925
 07/01/11 14    39.147    41.456    59.828
 07/01/11 15    39.520    42.012    59.714
 07/01/11 16    39.823    42.454    60.649
 07/01/11 17    40.128    42.403    61.102
 07/01/11 18    40.001    42.891    60.668
 07/01/11 19    39.829    42.516    60.355
 07/01/11 20    39.660    42.246    60.411
 07/01/11 21    39.621    41.968    60.082
 07/01/11 22    39.766    42.024    60.295
 07/01/11 23    39.471    41.890    60.199
 08/01/11 00    39.720    41.615    60.115
 08/01/11 01    39.427    42.205    60.107
 08/01/11 02    39.543    42.305    60.062
 08/01/11 03    39.545    41.987    60.150
 08/01/11 04    39.640    42.070    60.260
 08/01/11 05    39.371    42.697    60.021
 08/01/11 06    39.404    42.482    60.170
 08/01/11 07    39.349    42.168    60.048
 08/01/11 08    39.470    42.204    60.054
 08/01/11 09    39.258    41.970    59.798
 08/01/11 10    39.484    41.926    60.716
 08/01/11 11    39.461    42.237    60.521
 08/01/11 12    39.489    42.445    60.149
 08/01/11 13    39.493    42.336    60.080
 08/01/11 14    39.240    42.491    60.200
 08/01/11 15    39.388    42.206    60.266
 08/01/11 16    39.364    42.671    60.245
 08/01/11 17    39.380    42.623    60.219
 08/01/11 18    39.734    42.868    59.856
 08/01/11 19    39.454    42.342    60.279
 08/01/11 20    39.217    42.718    60.065
 08/01/11 21    39.384    42.093    60.176
 08/01/11 22    39.313    41.844    60.325
 08/01/11 23    39.194    41.914    59.639
 09/01/11 00    38.925    41.860    59.539
 09/01/11 01    39.216    42.166    60.138
 09/01/11 02    39.239    42.032    59.540
 09/01/11 03    39.456    42.179    60.187
 09/01/11 04    38.879    42.356    59.938
 09/01/11 05    38.964    42.049    59.989
 09/01/11 06    39.105    41.975    59.519
 09/01/11 07    39.039    41.983    59.584
 09/01/11 08    39.363    41.606    60.110
 09/01/11 09    39.190    42.101    59.774
 09/01/11 10    38.946    42.242    59.603
 09/01/11 11    38.920    42.661    59.574
 09/01/11 12    39.385    42.414    59.661
 09/01/11 13    39.592    42.203    59.715
 09/01/11 14    39.379    42.674    59.825
 09/01/11 15    39.596    42.557    60.026
 09/01/11 16    39.315    42.556    60.510
 09/01/11 17    39.433    42.745    60.376
 09/01/11 18    39.047    42.404    60.542
 09/01/11 19    39.304    41.906    60.397
 09/01/11 20    39.093    42.362    59.679
 09/01/11 21    39.033    41.825    59.404
 09/01/11 22    38.976    41.850    59.197
 09/01/11 23    39.120    42.112    59.452
 10/01/11 00    38.903    41.997    59.180
 10/01/11 01    38.765    41.822    59.378
 10/01/11 02    38.856    41.905    59.579
 10/01/11 03    39.113    41.582    59.964
 10/01/11 04    39.203    42.295    59.707
 10/01/11 05    39.181    42.864    58.987
 10/01/11 06    39.063    42.683    59.563
 10/01/11 07    39.353    42.794    59.584
 10/01/11 08    39.032    43.006    59.529
 10/01/11 09    39.332    42.638    59.508
 10/01/11 10    39.943    42.743    60.595
 10/01/11 11    40.551    43.713    61.312
 10/01/11 12    41.258    44.368    61.700
 10/01/11 13    41.042    43.773    61.826
 10/01/11 14    40.448    43.623    61.069
 10/01/11 15    40.414    42.770    60.837
 10/01/11 16    40.688    43.199    61.694
 10/01/11 17    41.380    43.934    62.487
 10/01/11 18    41.493    43.400    62.052
 10/01/11 19    40.819    43.335    61.508
 10/01/11 20    40.036    42.854    61.189
 10/01/11 21    40.149    42.658    60.591
 10/01/11 22    39.826    42.766    60.520
 10/01/11 23    39.701    43.232    59.962
 11/01/11 00    39.627    43.407    60.023
 11/01/11 01    39.616    43.116    60.418
 11/01/11 02    39.638    42.976    59.542
 11/01/11 03    39.500    43.243    60.073
 11/01/11 04    39.477    43.475    59.923
 11/01/11 05    39.649    42.794    60.224
 11/01/11 06    39.587    42.870    60.391
 11/01/11 07    39.344    42.689    60.120
 11/01/11 08    39.501    43.143    59.457
 11/01/11 09    39.390    42.947    60.447
 11/01/11 10    39.729    43.057    60.908
 11/01/11 11    40.485    43.815    62.579
 11/01/11 12    41.833    44.992    63.168
 11/01/11 13    42.774    45.639    64.086
 11/01/11 14    43.507    45.818    65.059
 11/01/11 15    44.442    47.057    65.653
 11/01/11 16    45.129    47.352    66.189
 11/01/11 17    44.613    46.433    65.477
 11/01/11 18    43.423    45.890    64.446
 11/01/11 19    42.091    44.997    62.901
 11/01/11 20    41.276    44.623    61.788
 11/01/11 21    40.886    44.402    61.544
 11/01/11 22    40.438    43.526    61.053
 11/01/11 23    40.201    43.324    60.423
 12/01/11 00    39.964    42.942    60.392
 12/01/11 01    39.787    42.920    60.132
 12/01/11 02    39.645    42.634    59.906
 12/01/11 03    39.703    42.658    59.634
 12/01/11 04    39.539    41.942    59.905
 12/01/11 05    39.723    41.841    59.710
 12/01/11 06    39.615    41.786    59.537
 12/01/11 07    39.623    42.118    59.623
 12/01/11 08    39.586    42.196    59.610
 12/01/11 09    39.552    42.260    60.148
 12/01/11 10    39.691    42.384    60.126
 12/01/11 11    39.627    41.836    59.932
 12/01/11 12    39.403    42.078    59.800
 12/01/11 13    39.167    41.856    60.006
 12/01/11 14    39.300    41.408    59.479
 12/01/11 15    39.041    41.463    59.647
 12/01/11 16    39.075    41.573    59.501
 12/01/11 17    39.271    41.788    59.742
 12/01/11 18    39.256    41.942    59.853
 12/01/11 19    39.398    41.837    59.671
 12/01/11 20    39.355    41.669    59.058
 12/01/11 21    39.219    41.893    59.615
 12/01/11 22    39.229    41.845    59.360
 12/01/11 23    39.133    41.967    59.719
 13/01/11 00    39.199    42.102    59.725
 13/01/11 01    38.957    41.876    59.916
 13/01/11 02    39.132    42.182    59.694
 13/01/11 03    38.940    41.882    59.643
 13/01/11 04    38.903    41.662    59.546
 13/01/11 05    38.950    41.577    59.420
 13/01/11 06    38.827    41.885    59.444
 13/01/11 07    38.784    41.786    59.205
 13/01/11 08    38.719    41.974    59.187
 13/01/11 09    38.892    41.608    58.963
 13/01/11 10    38.717    41.182    59.513
 13/01/11 11    38.679    41.265    59.302
 13/01/11 12    38.847    41.175    59.408
 13/01/11 13    38.917    41.408    59.336
 13/01/11 14    38.763    41.110    59.550
 13/01/11 15    38.851    41.027    59.274
 13/01/11 16    38.834    41.338    59.536
 13/01/11 17    39.669    42.247    61.215
 13/01/11 18    40.150    42.458    61.532
 13/01/11 19    39.826    42.398    61.470
 13/01/11 20    39.364    41.832    60.903
 13/01/11 21    39.075    41.359    60.427
 13/01/11 22    38.847    41.413    60.162
 13/01/11 23    39.049    41.472    60.013
 14/01/11 00    38.986    41.574    60.359
 14/01/11 01    38.999    41.464    60.308
 14/01/11 02    39.305    41.434    60.406
 14/01/11 03    39.178    41.688    60.868
 14/01/11 04    39.147    41.913    60.633
 14/01/11 05    39.456    41.943    60.824
 14/01/11 06    39.353    42.072    60.946
 14/01/11 07    39.269    41.794    60.337
 14/01/11 08    39.406    41.657    60.394
 14/01/11 09    39.391    41.731    60.292
 14/01/11 10    39.292    41.796    60.171
