#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
299|1985-01-05T13:06:33.110000|42.62|22.312|10.0|BULLETIN-VAX||||M|4.5|--|Serbia [Land]
1839|1985-01-21T01:18:26.520000|38.012|20.846|10.0|BULLETIN-VAX||||M|4.1|--|Costa Greca Ionica (GRECIA)
2079|1985-01-23T10:10:18.060000|44.14|10.574|9.4|BULLETIN-VAX||||Md|4.1|--|7 km W Abetone (PT)
2089|1985-01-23T16:11:34.960000|38.17|20.619|10.0|BULLETIN-VAX||||M|4.3|--|Costa Greca Ionica (GRECIA)
2429|1985-01-31T16:39:19.350000|38.439|22.966|10.0|BULLETIN-VAX||||M|4.1|--|Greece
3039|1985-02-05T01:22:04.770000|37.882|22.708|10.0|BULLETIN-VAX||||M|4.0|--|Southern Greece [Land: Greece]
3749|1985-02-10T15:32:21.020000|38.346|25.503|10.0|BULLETIN-VAX||||M|4.4|--|Greece [Sea]
4529|1985-02-18T15:22:29.190000|38.597|20.485|8.5|BULLETIN-VAX||||M|4.0|--|Costa Greca Ionica (GRECIA)
4899|1985-02-21T05:35:52.020000|41.521|20.573|10.0|BULLETIN-VAX||||M|4.1|--|Macedonia [Land]
4909|1985-02-21T06:21:37.940000|41.495|20.618|10.0|BULLETIN-VAX||||M|4.4|--|Macedonia [Land]
6329|1985-02-28T21:33:00.950000|47.629|7.252|4.4|BULLETIN-VAX||||M|4.0|--|France [Land]
8309|1985-03-12T09:51:08.650000|39.378|24.073|10.0|BULLETIN-VAX||||M|4.5|--|Greece [Sea]
10089|1985-03-22T20:37:57.410000|40.08|20.077|10.0|BULLETIN-VAX||||M|4.1|--|Albania [Land]
13289|1985-04-07T13:33:45.840000|37.85|19.986|10.0|BULLETIN-VAX||||M|5.0|--|Mar Ionio Meridionale (MARE)
13819|1985-04-11T12:29:58.630000|39.027|20.638|10.0|BULLETIN-VAX||||M|4.0|--|Greece [Sea]
14379|1985-04-16T00:40:25.960000|39.784|20.72|10.0|BULLETIN-VAX||||M|4.2|--|Greece [Land]
14449|1985-04-16T12:46:45.860000|39.743|20.826|10.0|BULLETIN-VAX||||M|4.1|--|Greece [Land]
14689|1985-04-18T14:41:52.720000|43.311|17.647|10.0|BULLETIN-VAX||||ML|4.6|--|Bosnia and Herz. [Land]
15079|1985-04-21T08:49:34.230000|35.418|22.685|10.0|BULLETIN-VAX||||M|5.1|--|Greece [Sea]
15239|1985-04-21T18:13:21.320000|43.86|16.548|10.0|BULLETIN-VAX||||ML|4.0|--|Croatia [Land]
15739|1985-04-24T11:30:23.430000|38.882|15.657|200.2|BULLETIN-VAX||||mb|4.0|--|Tirreno Meridionale (MARE)
15929|1985-04-25T12:05:35.720000|40.884|20.643|10.0|BULLETIN-VAX||||M|4.2|--|Albania [Land]
16689|1985-04-30T18:14:11.460000|39.232|23.083|10.0|BULLETIN-VAX||||M|5.3|--|Greece [Sea]
17789|1985-05-10T04:01:18.250000|35.524|27.085|10.0|BULLETIN-VAX||||M|4.3|--|Dodecanese Islands, Greece [Sea: Greece]
17919|1985-05-11T07:29:59.220000|39.019|20.895|10.0|BULLETIN-VAX||||M|4.1|--|Greece [Sea]
17999|1985-05-12T00:43:13.570000|38.485|20.993|10.0|BULLETIN-VAX||||M|4.0|--|Costa Greca Ionica (GRECIA)
18109|1985-05-12T18:41:52.060000|44.016|18.528|10.0|BULLETIN-VAX||||M|4.2|--|Bosnia and Herz. [Land]
18629|1985-05-15T11:00:29.880000|39.106|5.632|10.0|BULLETIN-VAX||||M|4.0|--|Spain [Sea]
18999|1985-05-18T01:13:38.270000|43.293|21.146|10.0|BULLETIN-VAX||||ML|4.9|--|Serbia [Land]
19639|1985-05-20T07:51:16.020000|38.195|20.335|10.0|BULLETIN-VAX||||Md|4.5|--|Costa Greca Ionica (GRECIA)
19659|1985-05-20T10:00:30.630000|42.228|13.323|10.0|BULLETIN-VAX||||Md|4.0|--|7 km S Lucoli (AQ)
20149|1985-05-20T20:11:43.620000|38.721|14.704|230.4|BULLETIN-VAX||||mb|4.2|--|Tirreno Meridionale (MARE)
20649|1985-05-21T23:27:02.060000|39.882|20.389|10.0|BULLETIN-VAX||||M|4.1|--|Confine Grecia-Albania (GRECIA, ALBANIA)
21069|1985-05-23T16:02:19.880000|36.334|22.272|10.0|BULLETIN-VAX||||ML|5.3|--|Costa Occidentale Peloponneso (GRECIA)
21739|1985-05-28T04:36:24.490000|35.678|23.641|10.0|BULLETIN-VAX||||M|4.3|--|Crete, Greece [Sea: Greece]
22369|1985-05-30T21:41:34.980000|39.66|20.623|10.0|BULLETIN-VAX||||M|4.0|--|Greece [Land]
26419|1985-06-26T04:48:52.610000|41.154|19.934|8.5|BULLETIN-VAX||||M|4.3|--|Albania
28069|1985-07-06T00:26:15.160000|39.689|20.477|10.0|BULLETIN-VAX||||M|4.0|--|Confine Grecia-Albania (GRECIA, ALBANIA)
28139|1985-07-06T10:53:29.080000|44.053|17.399|10.0|BULLETIN-VAX||||M|4.0|--|Bosnia and Herz. [Land]
